Indicator,Data Source,PUBLISH STATES,Year,iden,WHO region,Country,Beverage Types,Display Value,Numeric,High,Comments
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,AFG,Eastern Mediterranean,Afghanistan,All types,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,AFG,Eastern Mediterranean,Afghanistan,All types,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,ALB,Europe,Albania,All types,3.66,3.66,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,ALB,Europe,Albania,Beer,1.26,1.26,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,ALB,Europe,Albania,Other alcoholic beverages,0,0,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,ALB,Europe,Albania,Spirits,1.96,1.96,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,ALB,Europe,Albania,Wine,0.43,0.43,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,ALB,Europe,Albania,All types,4.25,4.25,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,ALB,Europe,Albania,Beer,1.42,1.42,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,ALB,Europe,Albania,Other alcoholic beverages,0,0,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,ALB,Europe,Albania,Spirits,2.02,2.02,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,ALB,Europe,Albania,Wine,0.81,0.81,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,ALB,Europe,Albania,All types,3.73,3.73,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,ALB,Europe,Albania,Beer,1.23,1.23,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,ALB,Europe,Albania,Other alcoholic beverages,0,0,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,ALB,Europe,Albania,Spirits,2.09,2.09,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,ALB,Europe,Albania,Wine,0.41,0.41,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,ALB,Europe,Albania,All types,4.29,4.29,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,ALB,Europe,Albania,Beer,1.39,1.39,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,ALB,Europe,Albania,Other alcoholic beverages,0,0,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,ALB,Europe,Albania,Spirits,2.13,2.13,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,ALB,Europe,Albania,Wine,0.77,0.77,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,ALB,Europe,Albania,All types,4.54,4.54,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,ALB,Europe,Albania,Beer,1.33,1.33,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,ALB,Europe,Albania,Other alcoholic beverages,0.08,0.08,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,ALB,Europe,Albania,Spirits,2.06,2.06,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,ALB,Europe,Albania,Wine,1.07,1.07,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,ALB,Europe,Albania,All types,5.16,5.16,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,ALB,Europe,Albania,Beer,1.59,1.59,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,ALB,Europe,Albania,Other alcoholic beverages,0.09,0.09,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,ALB,Europe,Albania,Spirits,2.14,2.14,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,ALB,Europe,Albania,Wine,1.34,1.34,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,ALB,Europe,Albania,All types,5.31,5.31,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,ALB,Europe,Albania,Beer,1.73,1.73,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,ALB,Europe,Albania,Other alcoholic beverages,0.1,0.1,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,ALB,Europe,Albania,Spirits,2.19,2.19,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,ALB,Europe,Albania,Wine,1.29,1.29,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,ALB,Europe,Albania,All types,5.58,5.58,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,ALB,Europe,Albania,Beer,1.86,1.86,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,ALB,Europe,Albania,Other alcoholic beverages,0.1,0.1,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,ALB,Europe,Albania,Spirits,2.26,2.26,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,ALB,Europe,Albania,Wine,1.36,1.36,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,ALB,Europe,Albania,All types,5.61,5.61,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,ALB,Europe,Albania,Beer,2.03,2.03,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,ALB,Europe,Albania,Other alcoholic beverages,0.1,0.1,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,ALB,Europe,Albania,Spirits,2.26,2.26,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,ALB,Europe,Albania,Wine,1.22,1.22,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,ALB,Europe,Albania,All types,5.79,5.79,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,ALB,Europe,Albania,Beer,2.08,2.08,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,ALB,Europe,Albania,Other alcoholic beverages,0.11,0.11,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,ALB,Europe,Albania,Spirits,2.3,2.3,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,ALB,Europe,Albania,Wine,1.3,1.3,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,ALB,Europe,Albania,All types,5.28,5.28,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,ALB,Europe,Albania,Beer,1.61,1.61,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,ALB,Europe,Albania,Other alcoholic beverages,0.11,0.11,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,ALB,Europe,Albania,Spirits,2.23,2.23,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,ALB,Europe,Albania,Wine,1.32,1.32,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,ALB,Europe,Albania,All types,5.37,5.37,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,ALB,Europe,Albania,Beer,1.76,1.76,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,ALB,Europe,Albania,Other alcoholic beverages,0.09,0.09,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,ALB,Europe,Albania,Spirits,2.23,2.23,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,ALB,Europe,Albania,Wine,1.29,1.29,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,ALB,Europe,Albania,All types,5.14,5.14,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,ALB,Europe,Albania,Beer,1.68,1.68,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,ALB,Europe,Albania,Other alcoholic beverages,0.09,0.09,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,ALB,Europe,Albania,Spirits,2.05,2.05,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,ALB,Europe,Albania,Wine,1.33,1.33,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,ALB,Europe,Albania,All types,4.76,4.76,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,ALB,Europe,Albania,Beer,1.68,1.68,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,ALB,Europe,Albania,Other alcoholic beverages,0.08,0.08,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,ALB,Europe,Albania,Spirits,1.92,1.92,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,ALB,Europe,Albania,Wine,1.08,1.08,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2014,ALB,Europe,Albania,All types,4.51,4.51,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2014,ALB,Europe,Albania,Beer,1.45,1.45,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2014,ALB,Europe,Albania,Other alcoholic beverages,0.08,0.08,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2014,ALB,Europe,Albania,Spirits,1.85,1.85,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2014,ALB,Europe,Albania,Wine,1.14,1.14,ALB,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DZA,Africa,Algeria,All types,0.25,0.25,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DZA,Africa,Algeria,Beer,0.12,0.12,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DZA,Africa,Algeria,Other alcoholic beverages,0,0,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DZA,Africa,Algeria,Spirits,0,0,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DZA,Africa,Algeria,Wine,0.13,0.13,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DZA,Africa,Algeria,All types,0.23,0.23,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DZA,Africa,Algeria,Beer,0.1,0.1,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DZA,Africa,Algeria,Other alcoholic beverages,0,0,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DZA,Africa,Algeria,Spirits,0.01,0.01,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DZA,Africa,Algeria,Wine,0.12,0.12,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DZA,Africa,Algeria,All types,0.36,0.36,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DZA,Africa,Algeria,Beer,0.17,0.17,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DZA,Africa,Algeria,Other alcoholic beverages,0,0,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DZA,Africa,Algeria,Spirits,0.01,0.01,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DZA,Africa,Algeria,Wine,0.18,0.18,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DZA,Africa,Algeria,All types,0.34,0.34,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DZA,Africa,Algeria,Beer,0.2,0.2,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DZA,Africa,Algeria,Other alcoholic beverages,0,0,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DZA,Africa,Algeria,Spirits,0.02,0.02,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DZA,Africa,Algeria,Wine,0.12,0.12,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DZA,Africa,Algeria,All types,0.45,0.45,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DZA,Africa,Algeria,Beer,0.24,0.24,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DZA,Africa,Algeria,Other alcoholic beverages,0,0,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DZA,Africa,Algeria,Spirits,0.03,0.03,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DZA,Africa,Algeria,Wine,0.19,0.19,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DZA,Africa,Algeria,All types,0.5,0.5,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DZA,Africa,Algeria,Beer,0.29,0.29,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DZA,Africa,Algeria,Other alcoholic beverages,0,0,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DZA,Africa,Algeria,Spirits,0.02,0.02,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DZA,Africa,Algeria,Wine,0.19,0.19,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DZA,Africa,Algeria,All types,0.36,0.36,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DZA,Africa,Algeria,Beer,0.17,0.17,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DZA,Africa,Algeria,Other alcoholic beverages,0,0,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DZA,Africa,Algeria,Spirits,0.02,0.02,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DZA,Africa,Algeria,Wine,0.17,0.17,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,DZA,Africa,Algeria,All types,0.44,0.44,DZA,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,DZA,Africa,Algeria,Beer,0.16,0.16,DZA,
