Country,Idcode,Data Source,Beverage Types,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,MeanValues
Guinea,GIN, Data source, All types,,,,,0.22,0.2,0.18,0.21,0.19,0.16,0.21,0.34,0.18,0.21,0.17,0.17,0.203333333
Guinea,GIN, Data source, Beer,,,,,0.18,0.15,0.15,0.17,0.15,0.12,0.16,0.16,0.16,0.17,0.15,0.15,0.155833333
Guinea,GIN, Data source, Wine,,,,,0.02,0.03,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.04,0.02,0.01,0.021666667
Guinea,GIN, Data source, Spirits,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0,0,0.01,0.01,0.0225
Guinea,GIN, Data source, Other alcoholic beverages,,,,,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0.0025
Guinea-Bissau,GNB, Data source, All types,,,,,3.57,3.21,2.55,2.64,2.98,3.22,3.1,2.58,2.16,2.47,2.55,2.84,2.8225
Guinea-Bissau,GNB, Data source, Beer,,,,,0.5,0.44,0.47,0.31,0.37,0.38,0.43,0.4,0.32,0.32,0.37,0.54,0.404166667
Guinea-Bissau,GNB, Data source, Wine,,,,,0.9,0.69,0.53,0.54,0.59,0.41,0.6,0.51,0.54,0.63,0.45,0.58,0.580833333
Guinea-Bissau,GNB, Data source, Spirits,,,,,0.53,0.54,0.53,0.54,0.51,0.52,0.53,0.53,0.54,0.55,0.6,0.6,0.543333333
Guinea-Bissau,GNB, Data source, Other alcoholic beverages,,,,,1.64,1.54,1.02,1.25,1.5,1.9,1.55,1.14,0.76,0.97,1.13,1.12,1.293333333
Guyana,GUY, Data source, All types,,7.64,7.56,7.57,7.56,7.52,7.49,7.32,7.2,7.04,7.35,7.84,7.93,7.73,6.71,6.63,7.406
Guyana,GUY, Data source, Beer,,1.92,1.9,1.86,1.8,1.74,1.65,1.55,1.51,1.45,1.33,1.33,1.39,1.66,1.58,1.59,1.617333333
Guyana,GUY, Data source, Wine,,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.09,0.01,0.01,0.02,0.02,0.02,0.01,0,0.022
Guyana,GUY, Data source, Spirits,,5.66,5.61,5.66,5.71,5.74,5.79,5.71,5.57,5.55,5.99,6.46,6.52,6.05,5.12,5.04,5.745333333
Guyana,GUY, Data source, Other alcoholic beverages,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0.022
Haiti,HTI, Data source, All types,,,5.68,5.68,5.68,5.76,5.85,5.95,6.08,6.18,5.57,6.1,6.64,6.1,6.22,4.79,5.877142857
Haiti,HTI, Data source, Beer,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.03,0.03,0.015
Haiti,HTI, Data source, Wine,,,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.014285714
Haiti,HTI, Data source, Spirits,,,5.65,5.65,5.65,5.73,5.83,5.93,6.05,6.15,5.55,6.08,6.62,6.05,6.17,4.75,5.847142857
Haiti,HTI, Data source, Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,HND, Data source, All types,,2.87,3.11,3.11,3.1,3.1,3.08,3.14,3.16,3.23,3.23,3.02,3.04,3.09,2.74,2.61,3.042
Honduras,HND, Data source, Beer,,1.46,1.43,1.41,1.38,1.36,1.33,1.33,1.3,1.28,1.27,1.27,1.38,1.41,1.33,1.34,1.352
Honduras,HND, Data source, Wine,,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.01,0.02,0.04,0.02,0.02,0.02,0.01,0.04,0.025333333
Honduras,HND, Data source, Spirits,,1.37,1.65,1.66,1.69,1.71,1.73,1.78,1.85,1.93,1.92,1.72,1.64,1.66,1.4,1.23,1.662666667
Honduras,HND, Data source, Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,HUN, Data source, All types,,,10.88,11.27,11.51,10.78,11.46,11.64,12.55,13.16,12.94,13.28,13.24,13.29,13.18,12.22,12.24285714
Hungary,HUN, Data source, Beer,,,3.79,4.08,4.05,3.91,4.26,4.28,4.58,4.38,4.3,4.34,4.47,4.34,4.25,4.3,4.237857143
Hungary,HUN, Data source, Wine,,,3.35,3.33,3.65,3.17,3.21,3.25,3.85,4.53,4.5,4.66,4.6,4.89,4.86,4.08,3.995
Hungary,HUN, Data source, Spirits,,,3.75,3.87,3.81,3.7,3.99,4.11,4.12,4.25,4.14,4.27,4.17,4.06,4.07,3.84,4.010714286
Hungary,HUN, Data source, Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,ISL, Data source, All types,,7.45,7.31,7.81,8.13,8.25,10.22,8.49,7.53,7.2,7.05,6.79,6.61,6.61,6.37,6.17,7.466
Iceland,ISL, Data source, Beer,,4.59,4.43,4.62,4.89,4.98,5.53,4.65,3.95,3.78,3.67,3.49,3.35,3.29,3.12,3.03,4.091333333
Iceland,ISL, Data source, Wine,,2.03,2.04,2.3,2.32,2.26,3.47,2.42,2.04,1.97,1.95,1.91,1.79,1.67,1.52,1.38,2.071333333
Iceland,ISL, Data source, Spirits,,0.72,0.74,0.77,0.8,0.87,1.06,1.2,1.46,1.36,1.33,1.31,1.39,1.58,1.68,1.73,1.2
Iceland,ISL, Data source, Other alcoholic beverages,,0.1,0.11,0.11,0.12,0.13,0.16,0.22,0.08,0.09,0.1,0.08,0.08,0.07,0.05,0.03,0.102
India,IND, Data source, All types,,3.07,3.11,3.1,3,2.77,2.5,1.93,1.59,1.37,1.27,1.2,1.19,1.1,1,0.93,1.942
India,IND, Data source, Beer,,0.21,0.21,0.19,0.18,0.17,0.15,0.14,0.13,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.13
India,IND, Data source, Wine,,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,0.007333333
India,IND, Data source, Spirits,,2.86,2.89,2.91,2.82,2.6,2.35,1.79,1.45,1.25,1.17,1.11,1.1,1.01,0.92,0.87,1.806666667
India,IND, Data source, Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,IDN, Data source, All types,,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.068666667
Indonesia,IDN, Data source, Beer,,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06
Indonesia,IDN, Data source, Wine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,IDN, Data source, Spirits,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.004666667
Indonesia,IDN, Data source, Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran (Islamic Republic of),IRN, Data source, All types,,,,,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0.015
Iran (Islamic Republic of),IRN, Data source, Beer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran (Islamic Republic of),IRN, Data source, Wine,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran (Islamic Republic of),IRN, Data source, Spirits,,,,,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0.015
Iran (Islamic Republic of),IRN, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,IRQ, Data source, All types,,,,,0.17,0.19,0.2,0.17,0.14,0.03,0.18,0.32,0.07,0.15,0.17,0.2,0.165833333
Iraq,IRQ, Data source, Beer,,,,,0.12,0.14,0.15,0.13,0.11,0,0.15,0.3,0.06,0.14,0.16,0.2,0.138333333
Iraq,IRQ, Data source, Wine,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,IRQ, Data source, Spirits,,,,,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0,0,0.024166667
Iraq,IRQ, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,IRL, Data source, All types,,10.75,10.49,11.49,11.72,11.88,11.41,12.66,13.59,13.44,13.31,13.32,13.24,14.17,14.27,14.07,12.654
Ireland,IRL, Data source, Beer,,5.13,4.99,5.37,5.5,5.73,5.84,6.31,6.74,6.87,6.99,7.1,7.31,7.67,7.88,8.01,6.496
Ireland,IRL, Data source, Wine,,2.8,2.64,2.93,3.02,2.98,2.58,2.8,2.93,2.77,2.62,2.57,2.29,2.17,1.97,1.79,2.590666667
Ireland,IRL, Data source, Spirits,,1.97,2.01,2.3,2.27,2.22,2.01,2.5,2.73,2.58,2.5,2.48,2.46,3.15,3.06,3.02,2.484
Ireland,IRL, Data source, Other alcoholic beverages,,0.85,0.86,0.89,0.93,0.94,0.98,1.05,1.2,1.22,1.2,1.17,1.17,1.18,1.36,1.25,1.083333333
Israel,ISR, Data source, All types,,2.62,2.69,2.78,2.67,2.63,2.55,2.47,2.33,2.23,2.41,2.23,2.32,2.47,2.53,2.53,2.497333333
Israel,ISR, Data source, Beer,,1.34,1.29,1.28,1.22,1.15,1.05,1.02,0.97,0.78,0.88,0.76,0.79,0.92,1.05,1.12,1.041333333
Israel,ISR, Data source, Wine,,0.17,0.13,0.18,0.18,0.18,0.18,0.21,0.17,0.18,0.22,0.17,0.17,0.22,0.19,0.25,0.186666667
Israel,ISR, Data source, Spirits,,1.07,1.23,1.26,1.22,1.24,1.27,1.19,1.15,1.21,1.27,1.24,1.36,1.32,1.29,1.16,1.232
Israel,ISR, Data source, Other alcoholic beverages,,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0,0,0,0,0.036
Italy,ITA, Data source, All types,,7.56,7.35,7.49,6.98,6.95,7.25,7.96,8.37,8.44,8.65,8.98,9.3,9.25,9.69,9.78,8.266666667
Italy,ITA, Data source, Beer,,1.73,1.7,1.7,1.69,1.66,1.63,1.71,1.81,1.76,1.73,1.72,1.75,1.64,1.69,1.64,1.704
Italy,ITA, Data source, Wine,,4.97,4.86,4.99,4.45,4.45,4.79,5.41,5.72,5.7,5.85,6.19,6.47,6.54,6.93,7.06,5.625333333
Italy,ITA, Data source, Spirits,,0.86,0.79,0.79,0.84,0.84,0.84,0.84,0.84,0.98,1.07,1.07,1.07,1.07,1.07,1.07,0.936
Italy,ITA, Data source, Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,JAM, Data source, All types,,3.83,3.79,3.65,3.58,3.55,3.33,3.51,3.64,3.63,3.59,3.67,3.48,3.76,3.89,3.46,3.624
Jamaica,JAM, Data source, Beer,,1.42,1.39,1.35,1.35,1.33,1.39,1.63,1.65,1.56,1.5,1.55,1.56,1.74,1.81,1.64,1.524666667
Jamaica,JAM, Data source, Wine,,0.16,0.16,0.15,0.13,0.17,0.14,0.14,0.18,0.15,0.11,0.14,0.09,0.12,0.12,0.1,0.137333333
Jamaica,JAM, Data source, Spirits,,1.93,1.96,1.88,1.85,1.79,1.52,1.43,1.51,1.6,1.66,1.66,1.83,1.9,1.95,1.71,1.745333333
Jamaica,JAM, Data source, Other alcoholic beverages,,0.32,0.28,0.27,0.26,0.26,0.28,0.31,0.3,0.32,0.32,0.33,0,0,0,0,0.216666667
Japan,JPN, Data source, All types,,,7.55,7.39,7.39,6.9,7.09,7.11,7.29,7.49,7.99,7.7,7.83,7.87,8.03,7.97,7.542857143
Japan,JPN, Data source, Beer,,,1.39,1.37,1.39,1.33,1.39,1.48,1.63,1.67,1.72,1.75,1.81,1.97,2.21,2.5,1.686428571
Japan,JPN, Data source, Wine,,,0.39,0.37,0.33,0.28,0.27,0.26,0.25,0.26,0.29,0.31,0.27,0.28,0.28,0.29,0.295
Japan,JPN, Data source, Spirits,,,4.29,4.13,4.09,3.76,3.77,3.55,3.41,3.37,3.37,3.42,3.34,3.14,3.05,2.94,3.545
Japan,JPN, Data source, Other alcoholic beverages,,,1.49,1.51,1.59,1.53,1.66,1.82,2,2.19,2.61,2.22,2.42,2.48,2.48,2.23,2.016428571
Jordan,JOR, Data source, All types,,0.41,0.4,0.41,0.43,0.51,0.59,0.61,0.6,0.59,0.55,0.54,0.54,0.54,0.55,0.49,0.517333333
Jordan,JOR, Data source, Beer,,0.06,0.05,0.05,0.04,0.1,0.19,0.19,0.18,0.18,0.16,0.15,0.13,0.14,0.15,0.07,0.122666667
Jordan,JOR, Data source, Wine,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.012
Jordan,JOR, Data source, Spirits,,0.33,0.33,0.34,0.36,0.39,0.38,0.4,0.39,0.39,0.36,0.37,0.39,0.39,0.39,0.41,0.374666667
Jordan,JOR, Data source, Other alcoholic beverages,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.007333333
Kazakhstan,KAZ, Data source, All types,,6.29,6.48,6.82,6.63,6.83,6.64,7.6,7.44,7.08,6.94,6.55,6.58,5.99,5.75,6,6.641333333
Kazakhstan,KAZ, Data source, Beer,,1.87,2,2.06,1.93,2.11,1.93,2.88,2.59,2.22,1.92,1.52,1.37,1.16,0.99,0.85,1.826666667
Kazakhstan,KAZ, Data source, Wine,,0.35,0.33,0.45,0.4,0.37,0.35,0.27,0.33,0.35,0.48,0.4,0.53,0.29,0.18,0.35,0.362
Kazakhstan,KAZ, Data source, Spirits,,4.07,4.14,4.3,4.29,4.35,4.35,4.45,4.51,4.51,4.54,4.62,4.67,4.53,4.58,4.8,4.447333333
Kazakhstan,KAZ, Data source, Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,KEN, Data source, All types,,,1.84,1.81,1.8,1.73,1.86,1.71,1.97,1.76,1.82,1.43,1.49,1.66,1.63,1.51,1.715714286
Kenya,KEN, Data source, Beer,,,0.91,0.95,0.91,0.96,1.04,1.05,0.94,0.81,0.84,0.65,0.55,0.66,0.67,0.65,0.827857143
Kenya,KEN, Data source, Wine,,,0.04,0.03,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.023571429
Kenya,KEN, Data source, Spirits,,,0.39,0.43,0.44,0.4,0.41,0.44,0.43,0.44,0.46,0.49,0.47,0.53,0.54,0.53,0.457142857
Kenya,KEN, Data source, Other alcoholic beverages,,,0.5,0.41,0.42,0.34,0.4,0.2,0.57,0.48,0.5,0.28,0.45,0.45,0.4,0.32,0.408571429
Kiribati,KIR, Data source, All types,,,,,0.53,0.48,0.54,0.46,0.68,0.76,0.6,0.48,0.5,0.49,0.6,0.46,0.548333333
Kiribati,KIR, Data source, Beer,,,,,0.43,0.44,0.47,0.42,0.49,0.63,0.56,0.43,0.4,0.45,0.42,0.39,0.460833333
Kiribati,KIR, Data source, Wine,,,,,0.03,0.03,0.02,0.02,0.16,0.1,0.01,0,0,0,0.01,0.02,0.033333333
Kiribati,KIR, Data source, Spirits,,,,,0.08,0,0.05,0.02,0.03,0.03,0.02,0.03,0.02,0.04,0.17,0.05,0.045
Kiribati,KIR, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.001666667
Kuwait,KWT, Data source, All types,,,,,0.02,0.01,0.1,0.03,0.03,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.024166667
Kuwait,KWT, Data source, Beer,,,,,0.01,0,0.09,0.02,0.01,0,0,0,0.02,0,0,0,0.0125
Kuwait,KWT, Data source, Wine,,,,,0,0,0,0,0,0,0,0.01,0,0,0,0,0.000833333
Kuwait,KWT, Data source, Spirits,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Kuwait,KWT, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ, Data source, All types,,,,,3.28,2.73,2.39,2.53,2.77,2.48,2.81,3.41,3.52,3.31,2.62,2.13,2.831666667
Kyrgyzstan,KGZ, Data source, Beer,,,,,0.68,0.63,0.56,0.64,0.76,0.61,0.64,0.59,0.36,0.26,0.25,0.26,0.52
Kyrgyzstan,KGZ, Data source, Wine,,,,,0.09,0.1,0.1,0.09,0.09,0.09,0.08,0.11,0.1,0.07,0.09,0.09,0.091666667
Kyrgyzstan,KGZ, Data source, Spirits,,,,,2.5,2,1.72,1.79,1.91,1.77,2.08,2.7,3.03,2.94,2.25,1.76,2.204166667
Kyrgyzstan,KGZ, Data source, Other alcoholic beverages,,,,,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.02,0.015
Lao People's Democratic Republic,LAO, Data source, All types,,,,,5.39,5.95,5.18,5.1,5,3.69,3.68,3.53,3.41,3.33,3.13,5.16,4.379166667
Lao People's Democratic Republic,LAO, Data source, Beer,,,,,2.55,2.39,2.15,2.02,1.74,1.49,1.4,1.22,1.11,1.01,0.93,0.84,1.570833333
Lao People's Democratic Republic,LAO, Data source, Wine,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.0025
Lao People's Democratic Republic,LAO, Data source, Spirits,,,,,2.84,3.56,3.03,3.08,3.26,2.2,2.27,2.31,2.3,2.32,2.18,4.3,2.804166667
Lao People's Democratic Republic,LAO, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,LVA, Data source, All types,,,10.37,10.21,10.14,9.8,9.85,11.84,12.12,10.4,9.92,8.81,8.24,7.44,6.68,7.13,9.496428571
Latvia,LVA, Data source, Beer,,,4.67,4.67,4.89,4.57,4.35,4.12,4.15,4.09,3.8,3.69,2.97,2.74,2.12,1.97,3.771428571
Latvia,LVA, Data source, Wine,,,1.1,1.16,1.1,1.1,1.03,1.13,1.18,1.06,0.94,0.95,1.78,1.5,1.38,1.6,1.215
Latvia,LVA, Data source, Spirits,,,4,3.77,3.59,3.61,3.94,5.8,5.91,4.48,4.57,3.74,3.33,3.04,3.04,3.45,4.019285714
Latvia,LVA, Data source, Other alcoholic beverages,,,0.6,0.6,0.56,0.52,0.53,0.79,0.88,0.78,0.6,0.43,0.16,0.16,0.14,0.11,0.49
Lebanon,LBN, Data source, All types,,1.32,1.29,1.53,1.57,1.58,1.62,1.67,1.72,1.82,1.94,2.1,2.19,1.98,2.19,2.26,1.785333333
Lebanon,LBN, Data source, Beer,,0.39,0.32,0.33,0.35,0.41,0.39,0.39,0.39,0.38,0.41,0.45,0.44,0.44,0.44,0.44,0.398
Lebanon,LBN, Data source, Wine,,0.16,0.17,0.35,0.31,0.25,0.32,0.42,0.52,0.66,0.77,0.82,0.85,0.59,0.64,0.7,0.502
Lebanon,LBN, Data source, Spirits,,0.74,0.79,0.83,0.89,0.9,0.89,0.85,0.79,0.76,0.75,0.82,0.89,0.95,1.11,1.12,0.872
Lebanon,LBN, Data source, Other alcoholic beverages,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0.014666667
Lesotho,LSO, Data source, All types,,,,,2.39,2.71,2.75,2.75,2.69,2.61,2.67,1.8,1.99,2.95,2.86,3.1,2.605833333
Lesotho,LSO, Data source, Beer,,,,,1.5,1.49,1.33,1.35,1.3,1.23,1.26,1.31,1.37,1.48,1.57,1.54,1.394166667
Lesotho,LSO, Data source, Wine,,,,,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.04,0.04,0.010833333
Lesotho,LSO, Data source, Spirits,,,,,0.6,0.61,0.55,0.56,0.55,0.54,0.53,0,0,0.35,0.36,0.37,0.418333333
Lesotho,LSO, Data source, Other alcoholic beverages,,,,,0.29,0.61,0.86,0.83,0.83,0.83,0.88,0.49,0.62,1.12,0.89,1.15,0.783333333
Liberia,LBR, Data source, All types,,,,,3.72,3.64,3.75,3.88,4.03,4.05,4.19,4.24,4.21,4.27,4.4,4.46,4.07
Liberia,LBR, Data source, Beer,,,,,0.49,0.33,0.34,0.34,0.34,0.3,0.29,0.25,0.15,0.15,0.17,0.17,0.276666667
Liberia,LBR, Data source, Wine,,,,,0.05,0.03,0.01,0.01,0.01,0,0,0,0,0,0,0,0.009166667
Liberia,LBR, Data source, Spirits,,,,,3.18,3.28,3.4,3.54,3.68,3.75,3.89,3.99,4.07,4.12,4.23,4.29,3.785
Liberia,LBR, Data source, Other alcoholic beverages,,,,,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.001666667
Libya,LBY, Data source, All types,,,,,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.006666667
Libya,LBY, Data source, Beer,,,,,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.001666667
Libya,LBY, Data source, Wine,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY, Data source, Spirits,,,,,0,0,0.01,0.01,0,0,0,0.01,0.01,0,0,0.01,0.004166667
Libya,LBY, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU, Data source, All types,,15.19,15.04,15.14,12.66,12.9,12.4,13.3,13.4,12.7,12.3,12.1,11.29,11,10.2,9.87,12.63266667
Lithuania,LTU, Data source, Beer,,5.46,5.26,5.6,5.43,6,5.4,5.4,5.6,6,5.8,4.62,4.58,4.66,4,3.78,5.172666667
Lithuania,LTU, Data source, Wine,,1.5,1.48,1.44,1.04,1,0.9,0.9,0.9,1.4,1.4,2.37,2.24,2.06,1.89,2.1,1.508
Lithuania,LTU, Data source, Spirits,,5.79,5.72,5.62,4.21,4.4,4.6,5.5,5.3,4.5,4.5,4.31,3.71,3.59,3.67,3.3,4.581333333
Lithuania,LTU, Data source, Other alcoholic beverages,,2.44,2.58,2.47,1.97,1.5,1.5,1.5,1.6,0.8,0.6,0.79,0.76,0.69,0.64,0.69,1.368666667
Luxembourg,LUX, Data source, All types,,11.12,11.02,11.34,11.5,11.36,11.42,11.53,11.75,11.98,11.84,12.42,12.61,12.91,12.89,13.14,11.922
Luxembourg,LUX, Data source, Beer,,4.08,3.8,4.02,4.02,4.11,4.17,4.17,4.29,4.46,4.36,4.27,4.36,4.46,4.43,4.62,4.241333333
Luxembourg,LUX, Data source, Wine,,4.75,4.79,4.95,5.05,4.86,4.86,4.92,5.07,5.06,5.07,5.58,5.75,5.86,5.81,5.88,5.217333333
Luxembourg,LUX, Data source, Spirits,,2.28,2.28,2.28,2.33,2.39,2.39,2.44,2.4,2.46,2.41,2.58,2.5,2.59,2.66,2.64,2.442
Luxembourg,LUX, Data source, Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,MDG, Data source, All types,,,0.87,0.87,0.97,1.03,0.91,0.68,0.71,0.68,0.72,0.81,0.93,0.9,1.05,1.16,0.877857143
Madagascar,MDG, Data source, Beer,,,0.42,0.45,0.5,0.53,0.4,0.37,0.38,0.34,0.34,0.36,0.38,0.28,0.41,0.4,0.397142857
Madagascar,MDG, Data source, Wine,,,0.1,0.1,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.13,0.22,0.22,0.12,0.13,0.156428571
Madagascar,MDG, Data source, Spirits,,,0.34,0.31,0.3,0.33,0.34,0.14,0.16,0.17,0.23,0.32,0.33,0.4,0.52,0.64,0.323571429
Madagascar,MDG, Data source, Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,MWI, Data source, All types,,,,,1.23,1.08,1.16,1.27,1.18,1.18,1.04,1.11,1.08,1.1,1.15,1.18,1.146666667
Malawi,MWI, Data source, Beer,,,,,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.145833333
Malawi,MWI, Data source, Wine,,,,,0.02,0.02,0.02,0.15,0,0.01,0.01,0.01,0.02,0.01,0.01,0,0.023333333
Malawi,MWI, Data source, Spirits,,,,,0.16,0.17,0.2,0.15,0.19,0.22,0.22,0.28,0.24,0.25,0.27,0.29,0.22
Malawi,MWI, Data source, Other alcoholic beverages,,,,,0.9,0.74,0.79,0.83,0.85,0.82,0.67,0.68,0.68,0.69,0.71,0.74,0.758333333
Malaysia,MYS, Data source, All types,,0.52,0.53,0.53,0.51,0.49,0.47,0.47,0.43,0.42,0.46,0.49,0.48,0.49,0.53,0.54,0.490666667
Malaysia,MYS, Data source, Beer,,0.39,0.4,0.41,0.39,0.38,0.37,0.37,0.34,0.34,0.38,0.41,0.4,0.41,0.41,0.45,0.39
Malaysia,MYS, Data source, Wine,,0.01,0.01,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0.04,0.02,0.008
Malaysia,MYS, Data source, Spirits,,0.11,0.12,0.12,0.11,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.092666667
Malaysia,MYS, Data source, Other alcoholic beverages,,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.002
Maldives,MDV, Data source, All types,,,,,1.92,1.83,1.59,1.76,1.78,1.62,1.47,1.6,1.75,1.95,1.98,1.83,1.756666667
Maldives,MDV, Data source, Beer,,,,,0.5,0.5,0.46,0.54,0.56,0.53,0.4,0.56,0.48,0.42,0.44,0.5,0.490833333
Maldives,MDV, Data source, Wine,,,,,0.54,0.46,0.33,0.37,0.37,0.29,0.31,0.36,0.34,0.19,0.15,0.04,0.3125
Maldives,MDV, Data source, Spirits,,,,,0.88,0.88,0.8,0.86,0.85,0.79,0.77,0.68,0.93,1.34,1.38,1.29,0.954166667
Maldives,MDV, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,MLI, Data source, All types,,,,,0.61,0.6,0.59,0.57,0.55,0.53,0.55,0.49,0.54,0.53,0.51,0.47,0.545
Mali,MLI, Data source, Beer,,,,,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0725
Mali,MLI, Data source, Wine,,,,,0.01,0.01,0,0,0,0,0,0,0.01,0.05,0.02,0.01,0.009166667
Mali,MLI, Data source, Spirits,,,,,0.02,0.02,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.010833333
Mali,MLI, Data source, Other alcoholic beverages,,,,,0.5,0.5,0.49,0.48,0.46,0.45,0.47,0.41,0.46,0.4,0.4,0.39,0.450833333
Malta,MLT, Data source, All types,,8.49,8.58,7.67,6.91,7.91,7.38,7.14,7.45,8.84,6.41,6.53,6.7,5.73,5.62,5.59,7.13
Malta,MLT, Data source, Beer,,2.88,2.9,3.07,2.58,2.89,2.71,2.66,2.37,2.15,1.7,1.86,1.83,2.61,2.72,2.83,2.517333333
Malta,MLT, Data source, Wine,,3.25,3.26,2.4,2.28,3.1,2.91,2.72,3.25,4.9,2.96,3.01,3.08,1.29,1.15,0.97,2.702
Malta,MLT, Data source, Spirits,,1.99,2.06,1.87,1.75,1.62,1.46,1.44,1.51,1.49,1.47,1.42,1.77,1.8,1.75,1.78,1.678666667
Malta,MLT, Data source, Other alcoholic beverages,,0.37,0.37,0.33,0.31,0.3,0.3,0.32,0.33,0.3,0.28,0.24,0.02,0.02,0,0,0.232666667
Marshall Islands,MHL, Data source, All types,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,#диаия./0!
Marshall Islands,MHL, Data source, Beer,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,#диаия./0!
Marshall Islands,MHL, Data source, Wine,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,#диаия./0!
